run_id,target,k,fault_ddr4_addr,fault_byte_offset,fault_bit,fault_region,timeout,crash,output_anomaly,top1_match,top5_match,baseline_top1,faulty_top1,baseline_prob,faulty_prob,prob_drop,recovered
44,WEIGHTS,10,0xaaaaccddeb25,25395845,1,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
45,WEIGHTS,10,0xaaaacca049a8,21356808,6,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
46,WEIGHTS,10,0xaaaacc080430,11377552,5,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
47,WEIGHTS,10,0xaaaaccbec0c8,23353384,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
48,WEIGHTS,10,0xaaaaccd07bfe,24515422,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
49,WEIGHTS,10,0xaaaaccc274c4,23596068,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
50,WEIGHTS,10,0xaaaacbca5299,7334393,6,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
51,WEIGHTS,10,0xaaaaccba0706,23043686,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
52,WEIGHTS,10,0xaaaacc681f24,17675908,4,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
53,WEIGHTS,10,0xaaaacbc49f1a,6960762,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
54,WEIGHTS,10,0xaaaaccc4f92d,23761037,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
55,WEIGHTS,10,0xaaaacc8212ea,19376714,6,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
56,WEIGHTS,10,0xaaaacc64743d,17435549,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
57,WEIGHTS,10,0xaaaacb81f270,2591184,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
58,WEIGHTS,10,0xaaaacbdc0440,8493984,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
59,WEIGHTS,10,0xaaaacbf5b3d1,10177329,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
60,WEIGHTS,10,0xaaaacc7e11ab,19114251,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
61,WEIGHTS,10,0xaaaacb700bb9,1418009,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
62,WEIGHTS,10,0xaaaacbdd6855,8585141,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
63,WEIGHTS,10,0xaaaacbb330d3,5818419,2,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
64,WEIGHTS,10,0xaaaacc887fb7,19797783,5,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
65,WEIGHTS,10,0xaaaacc4ba409,15809385,4,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
66,WEIGHTS,10,0xaaaacba77e10,5051760,1,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
67,WEIGHTS,10,0xaaaacc1fe322,12941954,1,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
68,WEIGHTS,10,0xaaaacba3854d,4791469,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
69,WEIGHTS,10,0xaaaacbd15455,7793589,3,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
70,WEIGHTS,10,0xaaaacbaf6bdb,5571387,7,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
71,WEIGHTS,10,0xaaaacb9bfb68,4297416,5,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
72,WEIGHTS,10,0xaaaacc7e9437,19147671,0,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
73,WEIGHTS,10,0xaaaacbfdabc6,10699558,6,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
74,WEIGHTS,10,0xaaaacc625dd4,17298740,1,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
75,WEIGHTS,10,0xaaaacb7a1504,2075748,5,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
76,WEIGHTS,10,0xaaaacc85efc2,19629858,6,WEIGHTS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
