run_id,target,k,fault_ddr4_addr,fault_byte_offset,fault_bit,fault_region,timeout,crash,output_anomaly,top1_match,top5_match,baseline_top1,faulty_top1,baseline_prob,faulty_prob,prob_drop,recovered
42,FEATURE_MAPS,10,0xaaaae370047c,11308,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984469,-0.001807,0
43,FEATURE_MAPS,10,0xaaaae3712361,84753,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.985079,-0.002417,0
44,FEATURE_MAPS,10,0xaaaae3712710,85696,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.985011,-0.002349,0
45,FEATURE_MAPS,10,0xaaaae370a671,52769,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986374,-0.003712,0
46,FEATURE_MAPS,10,0xaaaae371ab3c,119532,4,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986515,-0.003853,0
47,FEATURE_MAPS,10,0xaaaae36ff20f,6591,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982687,-0.000025,0
48,FEATURE_MAPS,10,0xaaaae37100e4,75924,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982775,-0.000113,0
49,FEATURE_MAPS,10,0xaaaae36feb3f,4847,4,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982627,0.000035,0
50,FEATURE_MAPS,10,0xaaaae37169cb,102779,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.985086,-0.002424,0
51,FEATURE_MAPS,10,0xaaaae3718ff9,112553,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984316,-0.001654,0
52,FEATURE_MAPS,10,0xaaaae3704785,28469,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.987413,-0.004751,0
53,FEATURE_MAPS,10,0xaaaae3717d3f,107759,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984400,-0.001738,0
54,FEATURE_MAPS,10,0xaaaae36ff702,7858,5,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984050,-0.001388,0
55,FEATURE_MAPS,10,0xaaaae3703853,24579,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984057,-0.001395,0
56,FEATURE_MAPS,10,0xaaaae3716e9c,104012,4,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.985017,-0.002355,0
57,FEATURE_MAPS,10,0xaaaae3702ad3,21123,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986429,-0.003767,0
58,FEATURE_MAPS,10,0xaaaae3708074,43044,3,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982710,-0.000048,0
59,FEATURE_MAPS,10,0xaaaae3706296,35398,3,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.979861,0.002801,0
60,FEATURE_MAPS,10,0xaaaae37001a0,10576,3,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982769,-0.000107,0
61,FEATURE_MAPS,10,0xaaaae371c98d,127293,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986161,-0.003499,0
62,FEATURE_MAPS,10,0xaaaae370970c,48828,3,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982851,-0.000189,0
63,FEATURE_MAPS,10,0xaaaae3719d68,115992,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
64,FEATURE_MAPS,10,0xaaaae3709c5a,50186,3,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982426,0.000236,0
65,FEATURE_MAPS,10,0xaaaae3710ac0,78448,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982720,-0.000058,0
66,FEATURE_MAPS,10,0xaaaae36fdaeb,667,3,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982669,-0.000007,0
67,FEATURE_MAPS,10,0xaaaae37048a8,28760,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982739,-0.000077,0
68,FEATURE_MAPS,10,0xaaaae370eb3e,70382,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984168,-0.001506,0
69,FEATURE_MAPS,10,0xaaaae37044e3,27795,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.983835,-0.001173,0
70,FEATURE_MAPS,10,0xaaaae371e8de,135310,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984113,-0.001451,0
71,FEATURE_MAPS,10,0xaaaae3706da6,38230,3,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986259,-0.003597,0
72,FEATURE_MAPS,10,0xaaaae371abab,119643,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
73,FEATURE_MAPS,10,0xaaaae3720982,143666,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986375,-0.003713,0
74,FEATURE_MAPS,10,0xaaaae372049c,142412,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986312,-0.003650,0
75,FEATURE_MAPS,10,0xaaaae3703cb2,25698,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984801,-0.002139,0
76,FEATURE_MAPS,10,0xaaaae37025de,19854,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.986256,-0.003594,0
77,FEATURE_MAPS,10,0xaaaae37059a1,33105,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984577,-0.001915,0
78,FEATURE_MAPS,10,0xaaaae370dcc7,66679,4,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982733,-0.000071,0
79,FEATURE_MAPS,10,0xaaaae37187f3,110499,1,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982332,0.000330,0
80,FEATURE_MAPS,10,0xaaaae3717f3d,108269,6,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.984309,-0.001647,0
81,FEATURE_MAPS,10,0xaaaae3700fe3,14227,2,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.982778,-0.000116,0
82,FEATURE_MAPS,10,0xaaaae370a8d5,53381,0,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.983743,-0.001081,0
83,FEATURE_MAPS,10,0xaaaae3713fe4,92052,7,FEATURE_MAPS,0,0,0,1,1,109,109,0.982662,0.983975,-0.001313,0
